T,rho,c,u,k,alpha,dL/L_293,E,v,rho_e,s,betta,IntK,
173,7882,,,45.9,1.080E-05,-0.00134,216,,,,0.0000324,0,
250,7862,,,46.92,1.125E-05,-0.00049,209,,8.890E-08,,0.00003375,3574,
273,7855,,,47.2,1.140E-05,-0.00023,207,,1.055E-07,,0.0000342,4656,
290,7851,,,47.39,1.152E-05,-0.00003,205.5,,1.177E-07,,0.00003456,5460,
293,7850,,,47.42,1.154E-05,0.00000,205.2,0.3,1.199E-07,,0.00003462,5602,
300,7848,0.434,0,47.49,1.159E-05,0.00008,204.6,,1.249E-07,0,0.00003477,5934,
310,7845,0.439,4.364,47.57,1.166E-05,0.00020,203.7,,1.321E-07,0.01431,0.00003498,6410,
350,7834,0.457,22.28,47.79,1.194E-05,0.00067,200.1,,1.609E-07,0.06868,0.00003582,8317,
373,7828,0.467,32.91,47.8,1.210E-05,0.00095,198,,,0.09809,0.0000363,9416,
473,7799,0.506,81.58,46.4,1.270E-05,0.00219,188,,,0.2137,0.0000381,14126,
573,7768,0.547,134.3,43.8,1.330E-05,0.00349,179,,,0.3147,0.0000399,18636,
673,7737,0.583,190.8,40.8,1.390E-05,0.00485,170,,,0.4056,0.0000417,22866,
773,7704,0.654,252.6,37.6,1.440E-05,0.00626,161,,,0.4913,0.0000432,26786,
873,7671,0.804,325.5,33.7,1.480E-05,0.00772,152,,,0.58,0.0000444,30351,
973,7637,1.071,419.3,29.8,1.500E-05,0.00921,,,,0.6816,0.000045,33526,
1000,7628,1.169,449.5,28.7,1.505E-05,0.00962,,,,0.7123,0.00004515,34316,
1073,7603,,,26.3,1.480E-05,0.01071,,,,,0.0000444,36323,
1173,7572,,,26,1.260E-05,0.01208,,,,,0.0000378,38938,
